Node	HIP-head-m-rh	HIP-head-l-rh	HIP-body-rh	HIP-tail-rh	THA-VPm-rh	THA-VPl-rh	THA-VAi-rh	THA-VAs-rh	THA-DAm-rh	THA-DAl-rh	PUT-VA-rh	PUT-DA-rh	PUT-VP-rh	PUT-DP-rh	CAU-VA-rh	CAU-DA-rh	CAU-body-rh	CAU-tail-rh	lAMY-rh	mAMY-rh	THA-DP-rh	NAc-shell-rh	NAc-core-rh	pGP-rh	aGP-rh	HIP-head-m-lh	HIP-head-l-l	HIP-body-l	HIP-tail-lh	THA-VPm-lh	THA-VPl-lh	THA-VAi-lh	THA-VAs-lh	THA-DAm-lh	THA-DAl-lh	PUT-VA-lh	PUT-DA-l	PUT-VP-lh	PUT-DP-lh	CAU-VA-lh	CAU-DA-lh	CAU-body-lh	CAU-tail-lh	lAMY-lh	mAMY-lh	THA-DP-lh	NAc-shell-lh	NAc-core-lh	pGP-lh	aGP-lh
HIP-head-m-rh	1.0	0.3886343836784363	-0.13198216259479523	-0.0017827532719820738	0.24263301491737366	-0.2972419559955597	-0.3051132261753082	-0.10567977279424667	-0.193447083234787	0.059759851545095444	0.0731431394815445	-0.18011479079723358	-0.10938473790884018	-0.12122881412506104	0.4572136104106903	-0.25327491760253906	-0.4359268546104431	-0.5420517921447754	0.031116126105189323	0.4566197097301483	0.050882868468761444	0.32207179069519043	-0.11358857899904251	-0.026956217363476753	-0.1344618946313858	0.24384663999080658	0.16039873659610748	-0.0909322053194046	0.021482903510332108	0.12920615077018738	-0.28888094425201416	-0.3451852798461914	-0.20376554131507874	-0.13636504113674164	-0.12064007669687271	-0.17369402945041656	-0.2066270262002945	-0.16574858129024506	-0.028789132833480835	-0.061560992151498795	-0.32464170455932617	-0.47474056482315063	-0.4287567436695099	-0.393049418926239	0.035842251032590866	0.12681464850902557	0.24691149592399597	0.16850033402442932	-0.1681266874074936	-0.15659259259700775
HIP-head-l-rh	0.3886343836784363	1.0	0.09898535907268524	0.20770303905010223	0.075441874563694	-0.2728591561317444	0.05933091416954994	0.1290457546710968	-0.11612802743911743	0.15529468655586243	-0.047310248017311096	-0.28594738245010376	-0.23260650038719177	-0.35642099380493164	0.17079946398735046	0.10577048361301422	-0.08042750507593155	-0.20531617105007172	0.276078462600708	0.19875437021255493	0.055270642042160034	0.25883084535598755	0.21399487555027008	0.025429705157876015	-0.26733580231666565	0.12863074243068695	0.4216323494911194	0.28594496846199036	0.2873137295246124	0.0955386832356453	0.017533350735902786	-0.0028609144501388073	-0.10453011840581894	0.22264978289604187	0.16235634684562683	-0.1412459760904312	-0.12895019352436066	-0.08416233956813812	-0.02966655045747757	-0.13432040810585022	-0.05956786125898361	-0.1237858384847641	-0.01964053139090538	-0.05090145766735077	-0.0688377171754837	0.1525150090456009	0.057270124554634094	0.1516515016555786	-0.004593404475599527	0.14337894320487976
HIP-body-rh	-0.13198216259479523	0.09898535907268524	1.0	0.47958528995513916	-0.03735639527440071	-0.3397235870361328	0.25581294298171997	0.031835876405239105	-0.05923044681549072	-0.14336757361888885	0.24316589534282684	0.031088752672076225	-0.06734666228294373	-0.07131006568670273	-0.31673672795295715	0.2936159372329712	0.12817451357841492	0.12498921155929565	0.16132746636867523	0.10901971161365509	0.1534043401479721	0.07904382050037384	0.48547011613845825	-0.259549081325531	-0.2704562544822693	0.17618106305599213	0.3274150788784027	0.6951436400413513	0.48108235001564026	-0.03809595853090286	0.09173300117254257	0.35086125135421753	-0.04911210015416145	0.21338297426700592	-0.17453134059906006	0.29627320170402527	0.0072402022778987885	0.13930273056030273	-0.0343678779900074	0.03733431175351143	0.39332500100135803	0.20443756878376007	0.1320485770702362	0.547380268573761	0.13625118136405945	-0.04376939684152603	0.12772899866104126	0.3516635000705719	-0.011696289293467999	0.19818028807640076
HIP-tail-rh	-0.0017827532719820738	0.20770303905010223	0.47958528995513916	1.0	-0.11696264147758484	-0.22046849131584167	0.304555743932724	0.07212568074464798	-0.012514501810073853	0.1709585338830948	-0.09380767494440079	-0.20990139245986938	-0.1421000212430954	-0.16225922107696533	-0.021607225760817528	0.40189751982688904	0.0417955107986927	0.03167461231350899	-0.006364545319229364	0.06973195821046829	0.09589438885450363	0.22422131896018982	0.28548094630241394	-0.1599733680486679	0.04211640730500221	0.39415279030799866	0.2256007194519043	0.3923443555831909	0.5989952683448792	0.1938561350107193	0.24664480984210968	0.4525578022003174	0.05665764957666397	0.42338240146636963	0.14109450578689575	0.08002150803804398	-0.05321492254734039	0.16143174469470978	0.08096401393413544	0.039492201060056686	0.270527720451355	0.11772794276475906	0.13443678617477417	0.14241580665111542	0.07237881422042847	0.27440500259399414	0.13290725648403168	0.4149334132671356	0.055666692554950714	0.23195764422416687
THA-VPm-rh	0.24263301491737366	0.075441874563694	-0.03735639527440071	-0.11696264147758484	1.0	0.3772038519382477	-0.052105147391557693	0.19130630791187286	-0.12877003848552704	-0.13822266459465027	-0.053518615663051605	0.3232870101928711	0.365753173828125	0.4419287443161011	0.18992829322814941	-0.24613265693187714	0.11768229305744171	0.16413316130638123	0.13178333640098572	0.15021896362304688	0.3821318745613098	-0.3076269030570984	-0.4017549157142639	0.2077551633119583	-0.22179056704044342	-0.04654685780405998	-0.19618496298789978	-0.12830734252929688	-0.11342810094356537	0.3658352196216583	-0.016151197254657745	-0.1262350231409073	0.03233484551310539	0.07950235158205032	-0.02425679750740528	-0.009109323844313622	0.2466960847377777	0.3502117395401001	0.4419439136981964	-0.14016491174697876	-0.12859314680099487	-0.052936963737010956	-0.07107158750295639	-0.22550758719444275	-0.13098928332328796	0.06788963079452515	-0.38524430990219116	-0.3500395119190216	0.16601692140102386	-0.15354257822036743
THA-VPl-rh	-0.2972419559955597	-0.2728591561317444	-0.3397235870361328	-0.22046849131584167	0.3772038519382477	1.0	0.13633710145950317	0.2224733829498291	0.30462929606437683	0.13812920451164246	-0.2978994846343994	0.29589584469795227	0.49461236596107483	0.4537676274776459	0.10138861835002899	-0.08491779863834381	0.329901784658432	0.26453280448913574	-0.0592661090195179	0.029979120939970016	0.17077268660068512	-0.363305926322937	-0.5109526515007019	0.2402331382036209	0.07749980688095093	-0.12626241147518158	-0.4622625410556793	-0.33188948035240173	-0.31582385301589966	0.41388267278671265	0.4798342287540436	0.19272489845752716	0.18985064327716827	0.3365838825702667	0.29836952686309814	-0.08160427957773209	0.41547542810440063	0.4953831732273102	0.41715383529663086	-0.04767061024904251	-0.16643953323364258	0.10705970227718353	0.2241341471672058	-0.1839415282011032	-0.0610174760222435	0.14348798990249634	-0.44965943694114685	-0.39951181411743164	0.35942116379737854	-0.3070544898509979
THA-VAi-rh	-0.3051132261753082	0.05933091416954994	0.25581294298171997	0.304555743932724	-0.052105147391557693	0.13633710145950317	1.0	0.40088802576065063	0.374203085899353	0.20751574635505676	0.08146271109580994	-0.039366140961647034	-0.019341349601745605	-0.09675795584917068	0.22644908726215363	0.3450263738632202	0.2896561920642853	0.2178725153207779	-0.18810699880123138	0.18609802424907684	0.06042376533150673	0.05128416419029236	0.32423660159111023	-0.06312702596187592	-0.006013541016727686	0.2883775532245636	-0.06358230859041214	0.20256929099559784	0.4264158308506012	0.34847307205200195	0.3070155680179596	0.7093629240989685	0.2715236246585846	0.4600103795528412	0.440438836812973	0.3334203064441681	0.1451270580291748	0.29465675354003906	0.07816668599843979	0.37589362263679504	0.44399797916412354	0.29426702857017517	0.3250051438808441	-0.011408612132072449	0.04294739291071892	0.09946421533823013	-0.0422612763941288	0.2794997990131378	0.37370947003364563	0.08972164243459702
THA-VAs-rh	-0.10567977279424667	0.1290457546710968	0.031835876405239105	0.07212568074464798	0.19130630791187286	0.2224733829498291	0.40088802576065063	1.0	0.3905615210533142	0.22711129486560822	0.13394343852996826	0.04140155017375946	0.09529633820056915	0.16153089702129364	0.16797161102294922	0.3216802179813385	0.5651850700378418	0.46133115887641907	0.16378213465213776	0.12378648668527603	0.3836742043495178	-0.04389806464314461	-0.06160585209727287	-0.004534637555480003	0.058424822986125946	0.06717195361852646	-0.12150449305772781	0.006793220993131399	0.19645321369171143	0.3768762946128845	0.24730387330055237	0.3256286680698395	0.5096102356910706	0.33988672494888306	0.39156651496887207	0.2117416113615036	0.18458159267902374	0.22928380966186523	0.18304267525672913	0.12738248705863953	0.24818594753742218	0.3870265483856201	0.38420769572257996	0.016820590943098068	0.13749343156814575	0.1444493532180786	-0.10894238203763962	-0.04498152434825897	0.28998368978500366	0.020369015634059906
THA-DAm-rh	-0.193447083234787	-0.11612802743911743	-0.05923044681549072	-0.012514501810073853	-0.12877003848552704	0.30462929606437683	0.374203085899353	0.3905615210533142	1.0	0.45819029211997986	0.038172077387571335	0.1691204458475113	0.0552804134786129	0.08824542909860611	0.3379533290863037	0.20461781322956085	0.36348772048950195	0.35057884454727173	-0.2428978681564331	0.225638285279274	0.05352472886443138	-0.11389701813459396	0.05795147269964218	-0.04158994182944298	0.3466505706310272	0.07332718372344971	-0.07446480542421341	-0.052409011870622635	0.14068345725536346	0.3169182538986206	0.27944236993789673	0.39708614349365234	0.33728718757629395	0.21375934779644012	0.6350350379943848	0.09601613134145737	0.027393091470003128	-0.002033115131780505	0.03265359252691269	0.6398158073425293	-0.005426769144833088	0.21000802516937256	0.4775366187095642	-0.11307914555072784	0.18040281534194946	-0.03065190277993679	-0.0472857691347599	0.022689588367938995	-0.12892282009124756	0.0004469553241506219
THA-DAl-rh	0.059759851545095444	0.15529468655586243	-0.14336757361888885	0.1709585338830948	-0.13822266459465027	0.13812920451164246	0.20751574635505676	0.22711129486560822	0.45819029211997986	1.0	-0.07502206414937973	-0.05891729146242142	-0.040899813175201416	-0.04631325602531433	0.41444307565689087	0.24050644040107727	0.14653003215789795	0.010764374397695065	-0.29532819986343384	0.04601060971617699	0.010528352111577988	0.060123421251773834	-0.04046923667192459	0.09454139322042465	0.054540492594242096	0.18929415941238403	0.055635739117860794	0.13381484150886536	0.4262373149394989	0.23537103831768036	0.17647536098957062	0.22180908918380737	-0.0423244833946228	0.24691595137119293	0.41220638155937195	0.019461534917354584	-0.12083598226308823	0.004792495165020227	-0.06658019125461578	0.4321547746658325	-0.042572323232889175	0.10885116457939148	0.17835846543312073	-0.28569933772087097	0.04749007523059845	0.11911102384328842	0.03198236599564552	0.19308097660541534	-0.005996746011078358	-0.1139257401227951
