Node	CEREBELLUM_LEFT	THALAMUS_LEFT	CAUDATE_LEFT	PUTAMEN_LEFT	PALLIDUM_LEFT	BRAIN_STEM	HIPPOCAMPUS_LEFT	AMYGDALA_LEFT	ACCUMBENS_LEFT	DIENCEPHALON_VENTRAL_LEFT	CEREBELLUM_RIGHT	THALAMUS_RIGHT	CAUDATE_RIGHT	PUTAMEN_RIGHT	PALLIDUM_RIGHT	HIPPOCAMPUS_RIGHT	AMYGDALA_RIGHT	ACCUMBENS_RIGHT	DIENCEPHALON_VENTRAL_RIGHT
CEREBELLUM_LEFT	1.0	-0.11160747706890106	-0.0810336023569107	-0.07843462377786636	-0.18221579492092133	-0.1334616243839264	-0.2267259657382965	-0.305001437664032	-0.1587357372045517	-0.04601961374282837	0.38580405712127686	-0.015211057849228382	0.1602276861667633	0.06216796487569809	-0.1143602505326271	-0.31462621688842773	-0.29279977083206177	-0.07930085062980652	-0.2890335023403168
THALAMUS_LEFT	-0.11160747706890106	1.0	0.19343070685863495	0.13456907868385315	0.15958577394485474	0.4063533544540405	0.10309690982103348	0.13706374168395996	0.24789686501026154	0.16657857596874237	0.1581660956144333	0.481717586517334	0.0741691142320633	-0.12399311363697052	-0.08083289116621017	0.1888875514268875	0.24627138674259186	0.05963660031557083	0.227113738656044
CAUDATE_LEFT	-0.0810336023569107	0.19343070685863495	1.0	0.5036147236824036	0.1412818282842636	-0.2621416449546814	-0.14072299003601074	-0.06807537376880646	0.5340165495872498	0.04164678975939751	0.1139279305934906	0.05561593547463417	0.8256529569625854	0.42124712467193604	-0.04392765462398529	-0.07660102844238281	0.15589246153831482	0.18917176127433777	0.01584298349916935
PUTAMEN_LEFT	-0.07843462377786636	0.13456907868385315	0.5036147236824036	1.0	0.3554053008556366	-0.26104965806007385	0.08692246675491333	0.07812170684337616	0.20163314044475555	-0.3283199965953827	0.015276627615094185	0.23489125072956085	0.5585847496986389	0.7468602657318115	0.245875746011734	-0.009592964313924313	-0.022692903876304626	0.018042780458927155	-0.010707835666835308
PALLIDUM_LEFT	-0.18221579492092133	0.15958577394485474	0.1412818282842636	0.3554053008556366	1.0	-0.19262361526489258	0.25238603353500366	-0.06397417187690735	0.056547489017248154	-0.17372506856918335	0.13839100301265717	0.08924282342195511	0.10052330046892166	0.20461130142211914	0.07026494294404984	0.1868465095758438	-0.15230397880077362	-0.0654967650771141	0.1965528130531311
BRAIN_STEM	-0.1334616243839264	0.4063533544540405	-0.2621416449546814	-0.26104965806007385	-0.19262361526489258	1.0	0.2741798162460327	0.43509161472320557	0.01620331034064293	0.2576614022254944	-0.08437652885913849	0.31171590089797974	-0.15307091176509857	-0.2827603816986084	-0.30051279067993164	0.2813986539840698	0.2959064245223999	0.23342964053153992	-0.08062485605478287
HIPPOCAMPUS_LEFT	-0.2267259657382965	0.10309690982103348	-0.14072299003601074	0.08692246675491333	0.25238603353500366	0.2741798162460327	1.0	0.5388116240501404	-0.035508330911397934	0.17620638012886047	-0.21976500749588013	0.10047144442796707	-0.05733408033847809	0.15273305773735046	-0.21585872769355774	0.7414465546607971	0.03280141204595566	-0.20697593688964844	-0.08635780215263367
AMYGDALA_LEFT	-0.305001437664032	0.13706374168395996	-0.06807537376880646	0.07812170684337616	-0.06397417187690735	0.43509161472320557	0.5388116240501404	1.0	0.04679069295525551	0.3235962688922882	-0.1373225748538971	-0.06023397296667099	-0.08115854114294052	0.029893783852458	-0.2922399640083313	0.5197463631629944	0.5206720232963562	-0.12671324610710144	0.02279461920261383
ACCUMBENS_LEFT	-0.1587357372045517	0.24789686501026154	0.5340165495872498	0.20163314044475555	0.056547489017248154	0.01620331034064293	-0.035508330911397934	0.04679069295525551	1.0	-0.09430485218763351	0.16517698764801025	0.09334870427846909	0.4066902995109558	0.036062512546777725	-0.1184653639793396	0.0341966338455677	-0.010630004107952118	0.20827904343605042	-0.04437153413891792
DIENCEPHALON_VENTRAL_LEFT	-0.04601961374282837	0.16657857596874237	0.04164678975939751	-0.3283199965953827	-0.17372506856918335	0.2576614022254944	0.17620638012886047	0.3235962688922882	-0.09430485218763351	1.0	0.08766109496355057	-0.22912754118442535	-0.059705160558223724	-0.13885538280010223	-0.4451325535774231	0.31279242038726807	0.4372309744358063	-0.007965282537043095	0.4581267535686493
